Id,SalePrice
1461,39300
1462,39300
1463,39300
1464,39300
1465,39300
1466,39300
1467,39300
1468,39300
1469,39300
1470,39300
1471,39300
1472,39300
1473,39300
1474,39300
1475,39300
1476,39300
1477,39300
1478,39300
1479,39300
1480,39300
1481,39300
1482,39300
1483,39300
1484,39300
1485,39300
1486,39300
1487,39300
1488,39300
1489,39300
1490,39300
1491,39300
1492,39300
1493,39300
1494,39300
1495,39300
1496,39300
1497,39300
1498,39300
1499,39300
1500,39300
1501,39300
1502,39300
1503,39300
1504,39300
1505,39300
1506,39300
1507,39300
1508,39300
1509,39300
1510,39300
1511,39300
1512,39300
1513,39300
1514,39300
1515,39300
1516,39300
1517,39300
1518,39300
1519,39300
1520,39300
1521,39300
1522,39300
1523,39300
1524,39300
1525,39300
1526,39300
1527,39300
1528,39300
1529,39300
1530,39300
1531,39300
1532,39300
1533,39300
1534,39300
1535,39300
1536,39300
1537,39300
1538,39300
1539,39300
1540,39300
1541,39300
1542,39300
1543,39300
1544,39300
1545,39300
1546,39300
1547,39300
1548,39300
1549,39300
1550,39300
1551,39300
1552,39300
1553,39300
1554,39300
1555,39300
1556,39300
1557,39300
1558,39300
1559,39300
1560,39300
1561,39300
1562,39300
1563,39300
1564,39300
1565,39300
1566,39300
1567,39300
1568,39300
1569,39300
1570,39300
1571,39300
1572,39300
1573,39300
1574,39300
1575,39300
1576,39300
1577,39300
1578,39300
1579,39300
1580,39300
1581,39300
1582,39300
1583,39300
1584,39300
1585,39300
1586,39300
1587,39300
1588,39300
1589,39300
1590,39300
1591,39300
1592,39300
1593,39300
1594,39300
1595,39300
1596,39300
1597,39300
1598,39300
1599,39300
1600,39300
1601,39300
1602,39300
1603,39300
1604,39300
1605,39300
1606,39300
1607,39300
1608,39300
1609,39300
1610,39300
1611,39300
1612,39300
1613,39300
1614,39300
1615,39300
1616,39300
1617,39300
1618,39300
1619,39300
1620,39300
1621,39300
1622,39300
1623,39300
1624,39300
1625,39300
1626,39300
1627,39300
1628,39300
1629,39300
1630,39300
1631,39300
1632,39300
1633,39300
1634,39300
1635,39300
1636,39300
1637,39300
1638,39300
1639,39300
1640,39300
1641,39300
1642,39300
1643,39300
1644,39300
1645,39300
1646,39300
1647,39300
1648,39300
1649,39300
1650,39300
1651,39300
1652,39300
1653,39300
1654,39300
1655,39300
1656,39300
1657,39300
1658,39300
1659,39300
1660,39300
1661,39300
1662,39300
1663,39300
1664,39300
1665,39300
1666,39300
1667,39300
1668,39300
1669,39300
1670,39300
1671,39300
1672,39300
1673,39300
1674,39300
1675,39300
1676,39300
1677,39300
1678,39300
1679,39300
1680,39300
1681,39300
1682,39300
1683,39300
1684,39300
1685,39300
1686,39300
1687,39300
1688,39300
1689,39300
1690,39300
1691,39300
1692,39300
1693,39300
1694,39300
1695,39300
1696,39300
1697,39300
1698,39300
1699,39300
1700,39300
1701,39300
1702,39300
1703,39300
1704,39300
1705,39300
1706,39300
1707,39300
1708,39300
1709,39300
1710,39300
1711,39300
1712,39300
1713,39300
1714,39300
1715,39300
1716,39300
1717,39300
1718,39300
1719,39300
1720,39300
1721,39300
1722,39300
1723,39300
1724,39300
1725,39300
1726,39300
1727,39300
1728,39300
1729,39300
1730,39300
1731,39300
1732,39300
1733,39300
1734,39300
1735,39300
1736,39300
1737,39300
1738,39300
1739,39300
